make,model,trim,cylinder_layout,number_of_cylinders,engine_type,mixed_fuel_consumption_per_100km,city_fuel_per_100km,highway_fuel_per_100km
255,Alpina,B12,5.0 AT,V-type,12,Gasoline,10,19,8
256,Alpina,B12,6.0 AT,V-type,12,Gasoline,15.5,24.6,10.2
257,Alpina,B3,3.3 MT,Inline,6,Gasoline,11,16,8
258,Alpina,B3,3.3 MT,Inline,6,Gasoline,11,16,8
259,Alpina,B3,3.3 AT Switchtronic Allrad,Inline,6,Gasoline,11,17,8
260,Alpina,B3,3.3 MT,Inline,6,Gasoline,10,16,7
261,Alpina,B3,3.3 MT,Inline,6,Gasoline,10,16,7
262,Alpina,B3,3.3 AT Switchtronic Allrad,Inline,6,Gasoline,11,17,8
263,Alpina,B3,3.3 MT,Inline,6,Gasoline,11,16,7
264,Alpina,B3,3.3 MT,Inline,6,Gasoline,11,16,8
265,Alpina,B3,3.0i AT,Inline,6,Gasoline,9.9,14.2,7.4
266,Alpina,B3,3.0i Allroad AT,Inline,6,Gasoline,10.1,14.6,7.5
267,Alpina,B3,3.0i AT,Inline,6,Gasoline,9.7,14,7.2
268,Alpina,B3,3.0 BITURBO AT SWITCH-TRONIC,Inline,6,Gasoline,9.6,13.7,7.2
269,Alpina,B3,3.0i Allrad AT,Inline,6,Gasoline,10.2,14.7,7.6
270,Alpina,B3,3.0i AT,Inline,6,Gasoline,9.8,14.1,7.3
271,Alpina,B3,3.0 Allrad AT,Inline,6,Gasoline,10.2,14.7,7.6
272,Alpina,B3,3.0 AT,Inline,6,Gasoline,9.9,14.2,7.4
273,Alpina,B3,3.0 SWITCH-TRONIC,Inline,6,Gasoline,7.6,10.2,6.1
274,Alpina,B3,3.0 SWITCH-TRONIC AWD,Inline,6,Gasoline,7.9,10.6,6.3
275,Alpina,B3,3.0 SWITCH-TRONIC,Inline,6,Gasoline,7.7,10.4,6.2
276,Alpina,B3,3.0 SWITCH-TRONIC AWD,Inline,6,Gasoline,8,10.8,6.4
277,Alpina,B4,3.0 BITURBO SWITCH-TRONIC,Inline,6,Gasoline,7.6,10.2,6.1
278,Alpina,B4,3.0 BITURBO SWITCH-TRONIC AWD,Inline,6,Gasoline,7.9,10.6,6.3
279,Alpina,B5,4.4 AT,V-type,8,Gasoline,12.3,18.6,8.7
280,Alpina,B5,4.4 AT,V-type,8,Gasoline,12.4,18.7,8.8
281,Alpina,B5,4.4 BITURBO SWITCH-TRONIC AT,V-type,8,Gasoline,10.5,15,7.9
282,Alpina,B5,4.4 BITURBO SWITCH-TRONIC AT,V-type,8,Gasoline,10.6,15.1,8
283,Alpina,B6,2.8 MT,Inline,6,Gasoline,8,13,6
284,Alpina,B6,4.4 AT,V-type,8,Gasoline,12.8,18.9,9.3
285,Alpina,B6,4.4 AT,V-type,8,Gasoline,12.3,18.6,8.7
286,Alpina,B6,4.4 BITURBO SWITCH-TRONIC,V-type,8,Gasoline,9.6,13.2,7.5
287,Alpina,B6,4.4 BITURBO SWITCH-TRONIC,V-type,8,Gasoline,9.4,12.9,7.4
288,Alpina,B6,4.4 BITURBO SWITCH-TRONIC AWD,V-type,8,Gasoline,10.4,14.3,8.2
289,Alpina,B7,4.4 AT,V-type,8,Gasoline,15.9,20,10
290,Alpina,B7,4.4 L AT,V-type,8,Gasoline,15.9,20,10
291,Alpina,B7,4.4 AT LWB,V-type,8,Gasoline,11.9,17.7,8.6
